,location_origin,location_dest,Month,DayofMonth,DepDelay,Cancelled,WeatherDelay
41486,Boston MA,Arlington VA,5,13,-108,0,0
41487,Boston MA,Arlington VA,4,24,-95,1,0
41488,Boston MA,Arlington VA,10,22,-55,0,0
41489,Boston MA,Arlington VA,9,7,-92,0,0
41490,Boston MA,Arlington VA,5,29,-100,1,0
41491,Boston MA,Arlington VA,12,30,-30,0,0
41492,Boston MA,Arlington VA,3,14,57,1,0
41493,Boston MA,Arlington VA,11,8,-29,0,0
41494,Boston MA,Arlington VA,8,3,247,0,65
41495,Boston MA,Arlington VA,12,20,855,1,107
41496,Boston MA,Arlington VA,10,29,-21,1,0
41497,Boston MA,Arlington VA,2,20,-78,0,0
41498,Boston MA,Arlington VA,8,26,45,1,40
41499,Boston MA,Arlington VA,4,17,106,1,0
41500,Boston MA,Arlington VA,4,18,-10,0,0
41501,Boston MA,Arlington VA,11,4,-123,3,0
41502,Boston MA,Arlington VA,2,3,-54,0,0
41503,Boston MA,Arlington VA,1,4,53,0,0
41504,Boston MA,Arlington VA,12,17,308,1,65
41505,Boston MA,Arlington VA,10,10,-43,0,24
41506,Boston MA,Arlington VA,9,28,61,0,0
41507,Boston MA,Arlington VA,6,4,1501,3,695
41508,Boston MA,Arlington VA,1,10,-83,1,0
41509,Boston MA,Arlington VA,11,25,93,1,41
41510,Boston MA,Arlington VA,10,7,-97,0,0
41511,Boston MA,Arlington VA,5,17,-37,0,0
41512,Boston MA,Arlington VA,1,16,-39,1,0
41513,Boston MA,Arlington VA,3,26,-87,0,0
41514,Boston MA,Arlington VA,6,28,156,0,0
41515,Boston MA,Arlington VA,6,18,65,0,85
41516,Boston MA,Arlington VA,7,22,-11,2,0
41517,Boston MA,Arlington VA,12,14,12,1,0
41518,Boston MA,Arlington VA,5,31,709,0,0
41519,Boston MA,Arlington VA,4,12,116,0,10
41520,Boston MA,Arlington VA,6,23,386,1,100
41521,Boston MA,Arlington VA,2,25,240,2,0
41522,Boston MA,Arlington VA,9,14,288,1,121
41523,Boston MA,Arlington VA,7,5,-14,0,0
41524,Boston MA,Arlington VA,7,6,274,0,107
41525,Boston MA,Arlington VA,4,11,113,1,53
41526,Boston MA,Arlington VA,2,18,242,1,0
41527,Boston MA,Arlington VA,10,15,-59,1,0
41528,Boston MA,Arlington VA,12,15,186,0,0
41529,Boston MA,Arlington VA,3,27,91,1,75
41530,Boston MA,Arlington VA,4,21,-40,1,0
41531,Boston MA,Arlington VA,7,20,290,2,0
41532,Boston MA,Arlington VA,5,26,95,0,0
41533,Boston MA,Arlington VA,11,9,83,0,0
41534,Boston MA,Arlington VA,1,27,175,2,15
41535,Boston MA,Arlington VA,9,11,-124,0,21
41536,Boston MA,Arlington VA,12,18,-88,0,0
41537,Boston MA,Arlington VA,12,24,392,0,0
41538,Boston MA,Arlington VA,11,17,-139,0,0
41539,Boston MA,Arlington VA,9,26,169,1,5
41540,Boston MA,Arlington VA,5,27,458,3,349
41541,Boston MA,Arlington VA,5,16,-72,0,0
41542,Boston MA,Arlington VA,3,25,54,0,0
41543,Boston MA,Arlington VA,8,15,301,3,0
41544,Boston MA,Arlington VA,2,26,-137,0,0
41545,Boston MA,Arlington VA,6,26,178,1,26
41546,Boston MA,Arlington VA,4,10,-29,0,0
41547,Boston MA,Arlington VA,11,29,-18,0,0
41548,Boston MA,Arlington VA,11,24,-175,0,0
41549,Boston MA,Arlington VA,12,11,69,0,5
41550,Boston MA,Arlington VA,6,14,187,0,0
41551,Boston MA,Arlington VA,7,25,-32,2,0
41552,Boston MA,Arlington VA,2,8,192,0,81
41553,Boston MA,Arlington VA,10,17,-134,0,0
41554,Boston MA,Arlington VA,2,7,-22,1,0
41555,Boston MA,Arlington VA,1,8,-99,0,0
41556,Boston MA,Arlington VA,12,8,-50,0,0
41557,Boston MA,Arlington VA,1,28,9,1,0
41558,Boston MA,Arlington VA,3,5,202,1,246
41559,Boston MA,Arlington VA,5,12,7,0,0
41560,Boston MA,Arlington VA,2,1,156,3,14
41561,Boston MA,Arlington VA,3,10,241,1,0
41562,Boston MA,Arlington VA,10,30,-75,0,0
41563,Boston MA,Arlington VA,11,7,282,0,199
41564,Boston MA,Arlington VA,10,4,-56,0,0
41565,Boston MA,Arlington VA,12,26,-27,0,0
41566,Boston MA,Arlington VA,10,8,5,0,0
41567,Boston MA,Arlington VA,6,29,211,1,0
41568,Boston MA,Arlington VA,5,19,-80,0,0
41569,Boston MA,Arlington VA,7,2,588,1,104
41570,Boston MA,Arlington VA,8,7,561,2,237
41571,Boston MA,Arlington VA,8,28,33,2,0
41572,Boston MA,Arlington VA,8,27,-101,0,0
41573,Boston MA,Arlington VA,11,3,-88,0,0
41574,Boston MA,Arlington VA,6,1,36,0,0
41575,Boston MA,Arlington VA,12,23,434,1,40
41576,Boston MA,Arlington VA,1,20,15,2,0
41577,Boston MA,Arlington VA,3,1,131,0,0
41578,Boston MA,Arlington VA,8,6,222,3,0
41579,Boston MA,Arlington VA,3,31,260,0,148
41580,Boston MA,Arlington VA,5,10,-22,0,0
41581,Boston MA,Arlington VA,2,22,88,13,44
41582,Boston MA,Arlington VA,6,12,39,0,43
41583,Boston MA,Arlington VA,3,15,127,0,33
41584,Boston MA,Arlington VA,2,9,-51,1,0
41585,Boston MA,Arlington VA,12,1,158,0,50
41586,Boston MA,Arlington VA,1,29,-171,0,0
41587,Boston MA,Arlington VA,4,26,-46,0,0
41588,Boston MA,Arlington VA,6,3,14,0,74
41589,Boston MA,Arlington VA,1,31,-124,0,0
41590,Boston MA,Arlington VA,3,16,394,0,0
41591,Boston MA,Arlington VA,12,25,168,0,0
41592,Boston MA,Arlington VA,4,28,570,1,169
41593,Boston MA,Arlington VA,4,3,-77,0,0
41594,Boston MA,Arlington VA,11,13,208,0,74
41595,Boston MA,Arlington VA,10,2,-68,0,0
41596,Boston MA,Arlington VA,2,19,-122,0,0
41597,Boston MA,Arlington VA,11,1,-53,0,0
41598,Boston MA,Arlington VA,4,13,56,0,15
41599,Boston MA,Arlington VA,2,17,-41,1,0
41600,Boston MA,Arlington VA,7,28,257,1,0
41601,Boston MA,Arlington VA,10,6,-136,0,0
41602,Boston MA,Arlington VA,8,23,-32,0,0
41603,Boston MA,Arlington VA,9,1,-11,0,0
41604,Boston MA,Arlington VA,9,19,-102,0,0
41605,Boston MA,Arlington VA,3,29,57,0,0
41606,Boston MA,Arlington VA,10,27,-163,0,0
41607,Boston MA,Arlington VA,5,1,-64,0,0
41608,Boston MA,Arlington VA,12,9,-30,0,0
41609,Boston MA,Arlington VA,5,25,-81,0,0
41610,Boston MA,Arlington VA,9,23,-118,0,0
41611,Boston MA,Arlington VA,12,2,-74,0,0
41612,Boston MA,Arlington VA,7,13,677,4,376
41613,Boston MA,Arlington VA,3,4,14,4,60
41614,Boston MA,Arlington VA,10,5,-14,0,10
41615,Boston MA,Arlington VA,3,17,105,0,30
41616,Boston MA,Arlington VA,4,14,-62,0,20
41617,Boston MA,Arlington VA,1,9,-140,1,0
41618,Boston MA,Arlington VA,2,23,375,1,31
41619,Boston MA,Arlington VA,3,6,-63,3,0
41620,Boston MA,Arlington VA,3,7,469,0,165
41621,Boston MA,Arlington VA,5,30,-49,0,0
41622,Boston MA,Arlington VA,4,15,-57,0,0
41623,Boston MA,Arlington VA,12,3,-136,0,0
41624,Boston MA,Arlington VA,10,31,-99,0,0
41625,Boston MA,Arlington VA,12,28,-4,0,0
41626,Boston MA,Arlington VA,4,30,11,0,0
41627,Boston MA,Arlington VA,2,6,125,0,0
41628,Boston MA,Arlington VA,8,11,1188,4,544
41629,Boston MA,Arlington VA,3,19,131,1,35
41630,Boston MA,Arlington VA,12,7,-52,0,0
41631,Boston MA,Arlington VA,7,3,7,0,0
41632,Boston MA,Arlington VA,1,30,52,2,57
41633,Boston MA,Arlington VA,11,28,-48,0,0
41634,Boston MA,Arlington VA,8,5,-87,0,0
41635,Boston MA,Arlington VA,2,24,-22,0,0
41636,Boston MA,Arlington VA,7,14,183,1,0
41637,Boston MA,Arlington VA,8,16,143,0,0
41638,Boston MA,Arlington VA,6,22,142,1,0
41639,Boston MA,Arlington VA,12,16,-75,0,10
41640,Boston MA,Arlington VA,6,10,249,2,112
41641,Boston MA,Arlington VA,6,21,87,0,0
41642,Boston MA,Arlington VA,4,23,23,0,15
41643,Boston MA,Arlington VA,1,2,592,3,0
41644,Boston MA,Arlington VA,8,31,-27,0,0
41645,Boston MA,Arlington VA,4,7,161,1,97
41646,Boston MA,Arlington VA,9,24,54,0,19
41647,Boston MA,Arlington VA,1,22,49,1,91
41648,Boston MA,Arlington VA,8,13,-83,1,0
41649,Boston MA,Arlington VA,11,6,155,1,5
41650,Boston MA,Arlington VA,7,11,64,2,0
41651,Boston MA,Arlington VA,10,19,206,0,0
41652,Boston MA,Arlington VA,8,2,270,1,0
41653,Boston MA,Arlington VA,8,17,-4,0,0
41654,Boston MA,Arlington VA,6,5,609,1,265
41655,Boston MA,Arlington VA,5,14,-61,0,0
41656,Boston MA,Arlington VA,6,13,-63,0,0
41657,Boston MA,Arlington VA,10,23,-53,0,0
41658,Boston MA,Arlington VA,1,3,39,1,0
41659,Boston MA,Arlington VA,11,12,-30,0,0
41660,Boston MA,Arlington VA,10,16,-99,0,0
41661,Boston MA,Arlington VA,6,2,-80,0,0
41662,Boston MA,Arlington VA,5,3,295,1,0
41663,Boston MA,Arlington VA,6,20,111,1,10
41664,Boston MA,Arlington VA,12,12,246,1,205
41665,Boston MA,Arlington VA,3,24,-67,2,23
41666,Boston MA,Arlington VA,8,25,-16,0,21
41667,Boston MA,Arlington VA,5,11,46,1,0
41668,Boston MA,Arlington VA,6,27,748,2,180
41669,Boston MA,Arlington VA,2,2,4,1,0
41670,Boston MA,Arlington VA,4,8,-106,0,0
41671,Boston MA,Arlington VA,7,29,-34,1,0
41672,Boston MA,Arlington VA,4,27,28,0,0
41673,Boston MA,Arlington VA,10,13,-71,0,0
41674,Boston MA,Arlington VA,4,4,367,0,151
41675,Boston MA,Arlington VA,11,30,165,0,60
41676,Boston MA,Arlington VA,2,15,41,0,52
41677,Boston MA,Arlington VA,8,21,-111,0,0
41678,Boston MA,Arlington VA,4,25,-125,1,0
41679,Boston MA,Arlington VA,10,11,-45,0,0
41680,Boston MA,Arlington VA,3,21,18,1,0
41681,Boston MA,Arlington VA,1,13,-80,0,0
41682,Boston MA,Arlington VA,1,11,684,4,181
41683,Boston MA,Arlington VA,7,30,43,0,0
41684,Boston MA,Arlington VA,12,19,59,7,0
41685,Boston MA,Arlington VA,9,30,-180,0,0
41686,Boston MA,Arlington VA,11,5,-162,0,0
41687,Boston MA,Arlington VA,9,16,-82,1,0
41688,Boston MA,Arlington VA,3,28,404,0,62
41689,Boston MA,Arlington VA,2,4,-90,1,0
41690,Boston MA,Arlington VA,7,1,37,0,0
41691,Boston MA,Arlington VA,11,10,4,0,0
41692,Boston MA,Arlington VA,6,11,-30,0,0
41693,Boston MA,Arlington VA,2,14,202,0,0
41694,Boston MA,Arlington VA,12,10,97,0,0
41695,Boston MA,Arlington VA,10,28,214,0,31
41696,Boston MA,Arlington VA,9,2,-124,0,0
41697,Boston MA,Arlington VA,8,18,-75,0,0
41698,Boston MA,Arlington VA,8,4,-52,1,0
41699,Boston MA,Arlington VA,11,23,24,0,0
41700,Boston MA,Arlington VA,4,5,57,0,0
41701,Boston MA,Arlington VA,8,24,-58,0,0
41702,Boston MA,Arlington VA,9,22,-120,0,0
41703,Boston MA,Arlington VA,10,20,-69,0,0
41704,Boston MA,Arlington VA,1,23,73,0,0
41705,Boston MA,Arlington VA,2,13,371,4,0
41706,Boston MA,Arlington VA,2,10,152,0,0
41707,Boston MA,Arlington VA,6,17,135,1,0
41708,Boston MA,Arlington VA,7,18,168,0,155
41709,Boston MA,Arlington VA,10,1,91,0,0
41710,Boston MA,Arlington VA,1,24,36,0,0
41711,Boston MA,Arlington VA,9,3,-130,0,0
41712,Boston MA,Arlington VA,7,26,-35,0,0
41713,Boston MA,Arlington VA,3,11,-31,0,0
41714,Boston MA,Arlington VA,5,6,-143,0,0
41715,Boston MA,Arlington VA,11,11,-31,0,0
41716,Boston MA,Arlington VA,11,18,-23,0,0
41717,Boston MA,Arlington VA,11,14,74,0,130
41718,Boston MA,Arlington VA,4,1,128,0,73
41719,Boston MA,Arlington VA,4,6,436,1,163
41720,Boston MA,Arlington VA,3,2,1,0,0
41721,Boston MA,Arlington VA,3,13,263,1,0
41722,Boston MA,Arlington VA,10,14,-137,0,0
41723,Boston MA,Arlington VA,11,2,-55,2,0
41724,Boston MA,Arlington VA,7,8,93,0,0
41725,Boston MA,Arlington VA,1,15,412,2,0
41726,Boston MA,Arlington VA,9,25,99,0,60
41727,Boston MA,Arlington VA,7,21,254,1,61
41728,Boston MA,Arlington VA,7,12,-40,0,0
41729,Boston MA,Arlington VA,2,27,-31,0,0
41730,Boston MA,Arlington VA,8,30,-19,0,30
41731,Boston MA,Arlington VA,11,21,22,1,20
41732,Boston MA,Arlington VA,2,21,-41,4,0
41733,Boston MA,Arlington VA,2,28,-80,1,0
41734,Boston MA,Arlington VA,12,13,-55,0,0
41735,Boston MA,Arlington VA,7,19,-53,0,0
41736,Boston MA,Arlington VA,3,22,23,0,0
41737,Boston MA,Arlington VA,5,8,58,0,0
41738,Boston MA,Arlington VA,7,23,456,3,150
41739,Boston MA,Arlington VA,9,10,-138,0,0
41740,Boston MA,Arlington VA,1,21,26,3,0
41741,Boston MA,Arlington VA,8,8,350,2,127
41742,Boston MA,Arlington VA,3,8,779,0,490
41743,Boston MA,Arlington VA,11,22,49,0,81
41744,Boston MA,Arlington VA,1,1,43,0,0
41745,Boston MA,Arlington VA,11,20,-45,0,0
41746,Boston MA,Arlington VA,9,29,120,1,16
41747,Boston MA,Arlington VA,7,7,137,0,0
41748,Boston MA,Arlington VA,6,7,116,0,0
41749,Boston MA,Arlington VA,8,1,0,2,0
41750,Boston MA,Arlington VA,12,29,-45,0,0
41751,Boston MA,Arlington VA,11,15,60,1,35
41752,Boston MA,Arlington VA,8,20,-103,0,0
41753,Boston MA,Arlington VA,10,9,-91,1,0
41754,Boston MA,Arlington VA,7,9,30,3,77
41755,Boston MA,Arlington VA,5,7,-104,0,0
41756,Boston MA,Arlington VA,9,12,224,0,0
41757,Boston MA,Arlington VA,9,8,-115,1,0
41758,Boston MA,Arlington VA,11,26,-105,0,22
41759,Boston MA,Arlington VA,6,16,466,8,0
41760,Boston MA,Arlington VA,12,6,-77,0,0
41761,Boston MA,Arlington VA,1,5,-36,2,0
41762,Boston MA,Arlington VA,10,26,14,0,0
41763,Boston MA,Arlington VA,5,24,-39,0,0
41764,Boston MA,Arlington VA,6,15,123,1,30
41765,Boston MA,Arlington VA,12,27,2,0,32
41766,Boston MA,Arlington VA,12,5,-145,0,0
41767,Boston MA,Arlington VA,2,29,111,1,0
41768,Boston MA,Arlington VA,3,18,50,1,0
41769,Boston MA,Arlington VA,9,4,-60,0,0
41770,Boston MA,Arlington VA,9,20,-49,0,0
41771,Boston MA,Arlington VA,6,9,243,0,0
41772,Boston MA,Arlington VA,4,22,-57,0,0
41773,Boston MA,Arlington VA,4,16,-39,0,0
41774,Boston MA,Arlington VA,4,20,127,0,40
41775,Boston MA,Arlington VA,12,4,-142,0,0
41776,Boston MA,Arlington VA,1,26,-94,0,0
41777,Boston MA,Arlington VA,10,18,-15,0,0
41778,Boston MA,Arlington VA,1,19,-63,0,0
41779,Boston MA,Arlington VA,3,3,-38,2,0
41780,Boston MA,Arlington VA,1,12,-67,0,0
41781,Boston MA,Arlington VA,5,2,-22,1,15
41782,Boston MA,Arlington VA,5,15,-54,0,0
41783,Boston MA,Arlington VA,9,27,-51,0,0
41784,Boston MA,Arlington VA,12,31,68,1,51
41785,Boston MA,Arlington VA,9,17,-138,0,0
41786,Boston MA,Arlington VA,1,18,8,1,35
41787,Boston MA,Arlington VA,6,6,304,1,35
41788,Boston MA,Arlington VA,4,9,-56,1,0
41789,Boston MA,Arlington VA,8,19,-113,0,0
41790,Boston MA,Arlington VA,9,6,-77,1,0
41791,Boston MA,Arlington VA,1,25,-15,0,0
41792,Boston MA,Arlington VA,5,21,-81,1,0
41793,Boston MA,Arlington VA,11,19,-94,0,55
41794,Boston MA,Arlington VA,6,24,725,1,243
41795,Boston MA,Arlington VA,5,22,-2,0,10
41796,Boston MA,Arlington VA,1,17,604,3,144
41797,Boston MA,Arlington VA,1,6,-121,1,0
41798,Boston MA,Arlington VA,6,25,65,1,15
41799,Boston MA,Arlington VA,7,10,52,1,50
41800,Boston MA,Arlington VA,10,12,-1,0,0
41801,Boston MA,Arlington VA,10,25,30,0,0
41802,Boston MA,Arlington VA,2,12,158,0,22
41803,Boston MA,Arlington VA,10,21,-97,0,0
41804,Boston MA,Arlington VA,9,21,-120,0,0
41805,Boston MA,Arlington VA,8,10,595,8,252
41806,Boston MA,Arlington VA,6,8,268,0,39
41807,Boston MA,Arlington VA,2,11,-12,1,0
41808,Boston MA,Arlington VA,11,27,-23,0,0
41809,Boston MA,Arlington VA,1,7,-115,0,0
41810,Boston MA,Arlington VA,11,16,23,0,0
41811,Boston MA,Arlington VA,6,19,294,1,0
41812,Boston MA,Arlington VA,9,9,682,0,13
41813,Boston MA,Arlington VA,3,20,612,1,211
41814,Boston MA,Arlington VA,7,27,1094,11,371
41815,Boston MA,Arlington VA,10,3,-134,0,0
41816,Boston MA,Arlington VA,2,5,-18,1,0
41817,Boston MA,Arlington VA,7,15,-150,0,0
41818,Boston MA,Arlington VA,8,9,64,0,0
41819,Boston MA,Arlington VA,2,16,19,0,0
41820,Boston MA,Arlington VA,8,22,-140,0,0
41821,Boston MA,Arlington VA,5,9,-45,1,0
41822,Boston MA,Arlington VA,5,18,-10,0,43
41823,Boston MA,Arlington VA,9,13,38,0,0
41824,Boston MA,Arlington VA,7,24,1024,3,83
41825,Boston MA,Arlington VA,10,24,-100,0,0
41826,Boston MA,Arlington VA,7,31,313,0,109
41827,Boston MA,Arlington VA,1,14,265,17,78
41828,Boston MA,Arlington VA,4,2,-87,1,15
41829,Boston MA,Arlington VA,5,20,-90,0,0
41830,Boston MA,Arlington VA,9,15,-59,1,0
41831,Boston MA,Arlington VA,4,19,-20,0,0
41832,Boston MA,Arlington VA,5,5,60,1,25
41833,Boston MA,Arlington VA,12,21,1012,10,466
41834,Boston MA,Arlington VA,7,4,-94,1,0
41835,Boston MA,Arlington VA,12,22,638,3,35
41836,Boston MA,Arlington VA,6,30,273,1,10
41837,Boston MA,Arlington VA,7,16,-107,0,0
41838,Boston MA,Arlington VA,7,17,14,2,0
41839,Boston MA,Arlington VA,3,30,-60,0,0
41840,Boston MA,Arlington VA,9,5,-64,0,0
41841,Boston MA,Arlington VA,5,4,413,0,197
41842,Boston MA,Arlington VA,5,28,-77,0,0
41843,Boston MA,Arlington VA,3,23,19,0,0
41844,Boston MA,Arlington VA,4,29,281,0,0
41845,Boston MA,Arlington VA,3,9,308,0,0
41846,Boston MA,Arlington VA,8,14,954,5,0
41847,Boston MA,Arlington VA,8,12,164,1,0
41848,Boston MA,Arlington VA,3,12,428,0,160
41849,Boston MA,Arlington VA,5,23,-14,0,0
41850,Boston MA,Arlington VA,8,29,20,0,83
41851,Boston MA,Arlington VA,9,18,-87,0,0
41852,Boston MA,Atlanta GA,12,15,72,0,0
41853,Boston MA,Atlanta GA,6,5,552,1,0
41854,Boston MA,Atlanta GA,4,3,-34,0,0
41855,Boston MA,Atlanta GA,12,26,923,1,0
41856,Boston MA,Atlanta GA,10,13,182,0,0
41857,Boston MA,Atlanta GA,12,14,-18,0,0
41858,Boston MA,Atlanta GA,7,22,325,1,0
41859,Boston MA,Atlanta GA,1,3,201,1,0
41860,Boston MA,Atlanta GA,12,24,121,0,7
41861,Boston MA,Atlanta GA,9,28,136,0,0
41862,Boston MA,Atlanta GA,6,23,188,0,0
41863,Boston MA,Atlanta GA,12,20,1074,0,159
41864,Boston MA,Atlanta GA,5,25,-51,1,0
41865,Boston MA,Atlanta GA,9,26,73,0,0
41866,Boston MA,Atlanta GA,9,14,575,0,0
41867,Boston MA,Atlanta GA,5,19,47,0,0
41868,Boston MA,Atlanta GA,12,30,177,0,0
41869,Boston MA,Atlanta GA,11,4,-48,0,0
41870,Boston MA,Atlanta GA,10,29,-64,0,0
41871,Boston MA,Atlanta GA,5,29,-44,0,0
41872,Boston MA,Atlanta GA,12,28,154,0,0
41873,Boston MA,Atlanta GA,12,17,150,0,2
41874,Boston MA,Atlanta GA,3,27,111,3,0
41875,Boston MA,Atlanta GA,6,10,70,0,0
41876,Boston MA,Atlanta GA,11,3,13,0,0
41877,Boston MA,Atlanta GA,1,8,-37,0,0
41878,Boston MA,Atlanta GA,6,28,194,1,0
41879,Boston MA,Atlanta GA,3,21,-18,0,0
41880,Boston MA,Atlanta GA,11,21,27,0,0
41881,Boston MA,Atlanta GA,5,3,-50,0,0
41882,Boston MA,Atlanta GA,5,27,439,0,0
41883,Boston MA,Atlanta GA,7,2,481,0,0
41884,Boston MA,Atlanta GA,11,7,236,0,0
41885,Boston MA,Atlanta GA,2,17,722,0,0
41886,Boston MA,Atlanta GA,7,20,358,0,22
41887,Boston MA,Atlanta GA,5,10,24,0,0
41888,Boston MA,Atlanta GA,7,26,228,0,0
41889,Boston MA,Atlanta GA,1,7,-32,0,0
41890,Boston MA,Atlanta GA,11,23,-9,0,0
41891,Boston MA,Atlanta GA,10,10,114,0,0
41892,Boston MA,Atlanta GA,2,29,-6,1,0
41893,Boston MA,Atlanta GA,7,14,440,2,0
41894,Boston MA,Atlanta GA,8,3,348,0,0
41895,Boston MA,Atlanta GA,11,17,2,0,0
41896,Boston MA,Atlanta GA,10,4,61,0,0
41897,Boston MA,Atlanta GA,2,22,395,3,56
41898,Boston MA,Atlanta GA,8,20,16,0,0
41899,Boston MA,Atlanta GA,4,30,72,0,0
41900,Boston MA,Atlanta GA,4,10,113,0,0
41901,Boston MA,Atlanta GA,7,28,114,0,0
41902,Boston MA,Atlanta GA,10,27,50,0,0
41903,Boston MA,Atlanta GA,9,6,-29,0,0
41904,Boston MA,Atlanta GA,1,28,46,0,0
41905,Boston MA,Atlanta GA,1,10,-54,0,0
41906,Boston MA,Atlanta GA,4,21,391,0,0
41907,Boston MA,Atlanta GA,2,16,-16,0,0
41908,Boston MA,Atlanta GA,12,18,102,0,0
41909,Boston MA,Atlanta GA,5,31,26,0,0
41910,Boston MA,Atlanta GA,12,9,24,1,0
41911,Boston MA,Atlanta GA,4,12,-8,0,0
41912,Boston MA,Atlanta GA,11,6,471,0,5
41913,Boston MA,Atlanta GA,8,21,2,0,0
41914,Boston MA,Atlanta GA,8,13,1,0,0
41915,Boston MA,Atlanta GA,12,7,112,0,0
41916,Boston MA,Atlanta GA,7,3,20,0,0
41917,Boston MA,Atlanta GA,5,18,39,0,0
41918,Boston MA,Atlanta GA,3,8,736,1,0
41919,Boston MA,Atlanta GA,2,18,390,0,0
41920,Boston MA,Atlanta GA,5,13,-43,0,0
41921,Boston MA,Atlanta GA,11,8,-46,0,0
41922,Boston MA,Atlanta GA,2,10,71,0,0
41923,Boston MA,Atlanta GA,1,21,38,0,0
41924,Boston MA,Atlanta GA,6,4,359,0,0
41925,Boston MA,Atlanta GA,10,5,203,0,0
41926,Boston MA,Atlanta GA,6,12,38,0,0
41927,Boston MA,Atlanta GA,3,2,17,0,0
41928,Boston MA,Atlanta GA,10,24,1196,0,0
41929,Boston MA,Atlanta GA,8,4,278,0,0
41930,Boston MA,Atlanta GA,9,29,-1,0,0
41931,Boston MA,Atlanta GA,11,2,83,0,0
41932,Boston MA,Atlanta GA,7,7,95,2,0
41933,Boston MA,Atlanta GA,10,17,136,0,0
41934,Boston MA,Atlanta GA,2,25,-35,0,0
41935,Boston MA,Atlanta GA,8,7,1426,0,0
41936,Boston MA,Atlanta GA,3,31,181,0,0
41937,Boston MA,Atlanta GA,3,15,434,0,0
41938,Boston MA,Atlanta GA,5,16,-17,0,0
41939,Boston MA,Atlanta GA,4,5,14,0,0
41940,Boston MA,Atlanta GA,12,1,121,0,0
